Unit Name,Visitors,YearRaw
Arches National Park,500,1929
Bryce Canyon National Park,21997,1929
Canyonlands National Park,19400,1965
Zion National Park,1814,1919
Capitol Reef National Park,1500,1938
Arches National Park,1585718,2016
Bryce Canyon National Park,2365110,2016
Canyonlands National Park,776218,2016
Zion National Park,4295127,2016
Capitol Reef National Park,1064904,2016
Arches National Park,1399247,2015
Bryce Canyon National Park,1745804,2015
Canyonlands National Park,634607,2015
Zion National Park,3648846,2015
Capitol Reef National Park,941029,2015
Arches National Park,1284767,2014
Bryce Canyon National Park,1435741,2014
Canyonlands National Park,542431,2014
Zion National Park,3189696,2014
Capitol Reef National Park,786514,2014
Arches National Park,1082866,2013
Bryce Canyon National Park,1311875,2013
Canyonlands National Park,462242,2013
Zion National Park,2807387,2013
Capitol Reef National Park,663670,2013
Arches National Park,1070577,2012
Bryce Canyon National Park,1385352,2012
Canyonlands National Park,452952,2012
Zion National Park,2973607,2012
Capitol Reef National Park,673345,2012
Arches National Park,1040758,2011
Bryce Canyon National Park,1296000,2011
Canyonlands National Park,473773,2011
Zion National Park,2825505,2011
Capitol Reef National Park,668834,2011
Arches National Park,1014405,2010
Bryce Canyon National Park,1285492,2010
Canyonlands National Park,435908,2010
Zion National Park,2665972,2010
Capitol Reef National Park,662661,2010
Arches National Park,996312,2009
Bryce Canyon National Park,1216377,2009
Canyonlands National Park,436241,2009
Zion National Park,2735402,2009
Capitol Reef National Park,617208,2009
Arches National Park,928795,2008
Bryce Canyon National Park,1043321,2008
Canyonlands National Park,436715,2008
Zion National Park,2690154,2008
Capitol Reef National Park,604811,2008
Arches National Park,860181,2007
Bryce Canyon National Park,1012563,2007
Canyonlands National Park,417560,2007
Zion National Park,2657281,2007
Capitol Reef National Park,554907,2007
Arches National Park,833049,2006
Bryce Canyon National Park,890676,2006
Canyonlands National Park,392537,2006
Zion National Park,2567350,2006
Capitol Reef National Park,511511,2006
Arches National Park,781670,2005
Bryce Canyon National Park,1017681,2005
Canyonlands National Park,393381,2005
Zion National Park,2586665,2005
Capitol Reef National Park,550255,2005
Arches National Park,733131,2004
Bryce Canyon National Park,987253,2004
Canyonlands National Park,371706,2004
Zion National Park,2677342,2004
Capitol Reef National Park,549708,2004
Arches National Park,757781,2003
Bryce Canyon National Park,903760,2003
Canyonlands National Park,386986,2003
Zion National Park,2458792,2003
Capitol Reef National Park,535441,2003
Arches National Park,769672,2002
Bryce Canyon National Park,886436,2002
Canyonlands National Park,367078,2002
Zion National Park,2592545,2002
Capitol Reef National Park,525646,2002
Arches National Park,754026,2001
Bryce Canyon National Park,1068619,2001
Canyonlands National Park,368592,2001
Zion National Park,2217779,2001
Capitol Reef National Park,527760,2001
Arches National Park,786429,2000
Bryce Canyon National Park,1099275,2000
Canyonlands National Park,401558,2000
Zion National Park,2432348,2000
Capitol Reef National Park,612656,2000
Arches National Park,869980,1999
Bryce Canyon National Park,1081521,1999
Canyonlands National Park,446160,1999
Zion National Park,2449664,1999
Capitol Reef National Park,680153,1999
Arches National Park,837161,1998
Bryce Canyon National Park,1166331,1998
Canyonlands National Park,436524,1998
Zion National Park,2370048,1998
Capitol Reef National Park,656026,1998
Arches National Park,858525,1997
Bryce Canyon National Park,1174824,1997
Canyonlands National Park,432697,1997
Zion National Park,2445534,1997
Capitol Reef National Park,625680,1997
Arches National Park,856016,1996
Bryce Canyon National Park,1269600,1996
Canyonlands National Park,447527,1996
