Row Labels,Sum of Visitors
1904,120690
1905,140954
1906,30569
1907,32935
1908,42768
1909,60899
1910,173416
1911,194207
1912,198334
1913,216853
1914,209693
1915,314299
1916,326506
1917,453498
1918,436222
1919,781178
1920,1022091
1921,1101697
1922,1136956
1923,1364073
1924,1528078
1925,1900705
1926,2163173
1927,2465709
1928,2704555
1929,3011950
1930,3039886
1931,3218445
1932,3552742
1933,3256620
1934,6095829
1935,7439536
1936,11754013
1937,14843515
1938,16032020
1939,15154994
1940,16419768
1941,20501005
1942,8894919
1943,6386532
1944,7727256
1945,10861970
1946,20927923
1947,24278009
1948,26315785
1949,28670542
1950,32731848
1951,36637744
1952,41833999
1953,45712730
1954,47999200
1955,48921200
1956,53911200
1957,58271700
1958,58539400
1959,62911500
1960,71662700
1961,79015200
1962,88659100
1963,102085400
1964,109331500
1965,118828600
1966,129476700
1967,135641500
1968,145676500
1969,159373800
1970,168428400
1971,151548700
1972,163492594
1973,166935700
1974,169105000
1975,188393000
1976,210490400
1977,205046200
1978,217772655
1979,201435104
1980,216414650
1981,235324466
1982,242012652
1983,240888137
1984,246205429
1985,261065932
1986,278426742
1987,284451527
1988,279572196
1989,266932174
1990,252852274
1991,265475653
1992,272635134
1993,270624460
1994,267499176
1995,270635994
1996,266690205
1997,271001853
1998,283595365
1999,284330427
2000,281158299
2001,275786747
2002,274017553
2003,263406861
2004,273240890
2005,270290725
2006,267583851
2007,271935899
2008,270909341
2009,280227682
2010,279251564
2011,276799292
2012,281392715
2013,271305455
2014,290105230
2015,304730566
2016,328483428
